id,name,program,commission,cookie_window,niche
kinsta,Kinsta,Kinsta Affiliates,$100-$500+/sale (scales with plan),30 days,Web Hosting
wpengine,WP Engine,WP Engine Affiliate Program,$200/sale flat fee,90 days,Web Hosting
dreamhost,DreamHost,DreamHost Affiliates,Up to $200/sale,90 days,Web Hosting
a2hosting,A2 Hosting,A2 Hosting Affiliates,Up to $150/sale,90 days,Web Hosting
cloudways,Cloudways,Cloudways Affiliates,Up to $125/sale + $10/sub-affiliate,60 days,Web Hosting
siteground,SiteGround,SiteGround Affiliates,~$100/sale,60 days,Web Hosting
bluehost,Bluehost,Bluehost Affiliates,$65+/sale,30 days,Web Hosting
hostinger,Hostinger,Hostinger affiliates,60%/sale noted in source page,120 days noted in source page,General
nordvpn,NordVPN,Impact / Nord Security partner program,Up to 100% on 1-MONTH plan signups only; 40% on 1-year/2-year plans; 30% on renewals. Do NOT cite as blanket 100%/sale. Verify exact tier in Jeff's dashboard.,30 days,General
surfshark,Surfshark,Surfshark Affiliates,UNVERIFIED — 'up to 100%/sale' likely applies to monthly plans only (same pattern as NordVPN). Verify before citing. Not yet enrolled.,30 days,General
cursor,Cursor,Cursor affiliate/referral program,"UNVERIFIED — no official cash affiliate program found (Cursor forum confirms referral links grant credits, not cash). The previous $15/mo-recurring figure was unsubstantiated. Do not project Cursor revenue until Jeff confirms actual terms from his dashboard.",unknown,General
hubspot,HubSpot,HubSpot Partners (Impact),Up to 100% first month + 30% recurring 12mo,90 days,CRM/Sales
typeform,Typeform,Typeform Affiliates (Impact),"30% recurring, 90-day cookie",90 days,Form Builders
jotform,Jotform,Jotform Affiliates (Impact),"30% recurring, 120-day cookie",120 days,Form Builders
tally,Tally.so,Tally Affiliates (Rewardful),30% recurring,unknown,Form Builders
relayapp,Relay.app,Relay Affiliates (Rewardful),"30% recurring, 60-day cookie",60 days,API Automation
n8n,n8n,n8n Affiliates (FirstPromoter),"30% recurring, 90-day cookie",90 days,API Automation
activepieces,Activepieces,Activepieces Affiliates,30% recurring,unknown,API Automation
canva,Canva,Canva Affiliates (Impact),30% recurring on Pro ($13/mo),30 days,AI Image Generation
pipedrive,Pipedrive,Pipedrive Partner Program,20% recurring + 4 months enterprise bonus,90 days,CRM/Sales
freshsales,Freshsales,Freshworks Affiliates,20% recurring 12mo,30 days,CRM/Sales
fillout,Fillout,Fillout Affiliates,"20% recurring, 90-day cookie",90 days,Form Builders
pipedream,Pipedream,Pipedream Affiliates,20% recurring,unknown,API Automation
beehiiv,beehiiv,Rewardful,50% of referred revenue for 12 MONTHS (base tier; 55-60% only at high partner tiers). NOT lifetime. Verify tier in Jeff's dashboard.,"60 days, first-touch",General
webflow,Webflow,Webflow affiliate program,30% for 12 months noted in task,unknown,General
framer,Framer,Framer affiliate program,20% lifetime recurring noted in task,unknown,General
rightblogger,RightBlogger,Rewardful/direct,50% lifetime recurring noted in source page,unknown,General
writesonic,Writesonic,Impact/direct,25-30% lifetime recurring noted in source page,unknown,General
surferseo,Surfer SEO,Surfer SEO affiliates,30% lifetime recurring noted in source page,unknown,General
close,Close,Close Affiliate Program,30% lifetime recurring,60 days,CRM/Sales
copper,Copper,Copper Affiliates,20% lifetime recurring,60 days,CRM/Sales
